gpu_ts,gpu_util,mem_util,logged_at,prompt_id,in_toks,out_toks,prompt_size,model
2025/07/11 18:47:06.864,0,0,2025-07-11T16:47:06.882434,,,,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:06.964,0,0,2025-07-11T16:47:06.979780,,,,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.064,0,0,2025-07-11T16:47:07.079989,,,,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.164,45,50,2025-07-11T16:47:07.179383,,,,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.265,45,50,2025-07-11T16:47:07.280474,,,,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.365,98,100,2025-07-11T16:47:07.379681,,,,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.465,98,100,2025-07-11T16:47:07.479645,0,142,11,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.565,98,100,2025-07-11T16:47:07.579927,0,142,11,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.665,98,100,2025-07-11T16:47:07.680102,0,142,11,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.765,35,38,2025-07-11T16:47:07.780151,0,142,11,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.865,35,38,2025-07-11T16:47:07.880077,0,142,11,128,meta-llama/Llama-3.1-8B
2025/07/11 18:47:07.965,0,0,2025-07-11T16:47:07.980202,0,142,11,128,meta-llama/Llama-3.1-8B
