provider,gpu,engine,llm,requested_length,response_size,latency_s,throughput_tokens_per_s
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,11,0.583,46.31
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,12,0.596,46.98
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,11,0.614,43.97
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,4,0.308,64.94
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,12,0.579,48.36
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,11,0.581,46.47
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,12,0.683,41.0
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,12,0.579,48.36
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,11,0.65,41.54
SURF,A10,vLLM 0.9.0, Llama-3-8B,16,11,0.614,43.97
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,29,1.142,53.42
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,28,1.215,49.38
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,19,1.227,41.56
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,20,1.144,45.45
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,21,1.144,46.33
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,21,1.147,46.21
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,28,1.175,51.06
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,25,1.146,49.74
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,26,1.196,48.49
SURF,A10,vLLM 0.9.0, Llama-3-8B,32,28,1.143,52.49
SURF,A10,vLLM 0.9.0, Llama-3-8B,64,56,2.351,51.04
SURF,A10,vLLM 0.9.0, Llama-3-8B,64,52,2.355,49.26
SURF,A10,vLLM 0.9.0, Llama-3-8B,64,54,2.276,51.85
SURF,A10,vLLM 0.9.0, Llama-3-8B,64,55,2.333,51.01
SURF,A10,vLLM 0.9.0, Llama-3-8B,64,54,2.354,50.13
SURF,A10,vLLM 0.9.0, Llama-3-8B,64,48,2.289,48.93
SURF,A10,vLLM 0.9.0, Llama-3-8B,64,36,2.272,44.01
